MapName,Bfr1_scores_file,Bfr2_scores_file,Note
Bfr1Bfr2_SymRelax_284.mrc,edit_Bfr1_005_284postprocess_Qscores_to-Gaby.csv,edit_Bfr2_007_284postprocess_Qscores_to-Gaby.csv,
Bfr1Bfr2_SymRelax_symO_onGrid284.mrc,edit_Qscores_Bfr1_003_284postprocess_symO_to-Gaby.csv,edit_Qscores_Bfr2_006_284postprocess_symO_to-Gaby.csv,
